number_of_vehicles,number_of_casualties,day_of_week,time,local_authority_district,speed_limit,junction_detail,pedestrian_crossing_physical_facilities,light_conditions,road_surface_conditions,urban_or_rural_area,sex_of_casualty,age_band_of_casualty,casualty_severity,casualty_home_area_type,casualty_imd_decile,Year,Month,Day,wind_conditions,weather_conditions_Fine,weather_conditions_Fog or mist,weather_conditions_Other,weather_conditions_Raining,weather_conditions_Snowing,casualty_type_Car driver,casualty_type_Car front seat passenger,casualty_type_Car rear seat passenger,casualty_type_Cyclist,casualty_type_Goods vehicle driver,casualty_type_Goods vehicle passenger,casualty_type_Motorcycle passenger,casualty_type_Motorcycle rider,casualty_type_Other vehicle occupant,casualty_type_Pedestrian,casualty_type_Public transport driver,casualty_type_Public transport passenger
3,1,5,14,2,30,0,0,0,0,0,0,5,0,1,6,2020,9,5,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,3,5,23,2,40,0,0,1,1,0,1,7,0,0,0,2020,12,26,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
2,3,5,23,2,40,0,0,1,1,0,1,7,0,0,0,2020,12,26,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
2,3,5,23,2,40,0,0,1,1,0,1,7,0,0,0,2020,12,26,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
2,1,7,13,2,60,0,0,0,0,1,0,6,1,1,4,2018,5,20,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
2,1,4,18,3,30,1,0,0,0,0,1,5,1,1,0,2018,5,11,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,1,1,15,2,20,1,0,0,0,1,0,4,0,0,1,2020,10,20,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4,1,7,16,1,40,1,0,0,0,0,1,7,0,1,0,2019,8,4,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2,2,2,23,3,40,0,0,1,0,0,1,4,0,1,4,2022,10,26,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,2,2,23,3,40,0,0,1,0,0,1,4,0,1,4,2022,10,26,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,1,2,16,2,60,1,0,0,0,1,1,5,0,0,3,2019,4,17,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1,5,5,0,1,60,1,0,2,1,1,1,4,1,1,4,2021,12,11,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1,5,5,0,1,60,1,0,2,1,1,1,4,1,1,4,2021,12,11,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1,5,5,0,1,60,1,0,2,1,1,1,4,1,1,4,2021,12,11,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1,5,5,0,1,60,1,0,2,1,1,1,4,1,1,4,2021,12,11,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1,5,5,0,1,60,1,0,2,1,1,1,4,1,1,4,2021,12,11,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,1,4,9,3,30,0,0,0,0,0,0,3,0,1,0,2018,10,19,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
3,2,7,12,2,60,0,0,0,1,1,1,10,0,0,2,2020,1,12,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3,2,7,12,2,60,0,0,0,1,1,1,10,0,0,2,2020,1,12,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,1,4,16,2,40,0,0,0,1,0,0,5,0,0,0,2020,2,28,0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
2,1,4,9,3,30,0,1,0,0,0,1,7,0,1,0,2019,9,27,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,1,4,17,3,30,1,0,0,0,0,0,5,0,1,0,2019,3,22,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2,1,1,16,1,40,1,0,0,1,0,1,10,0,0,7,2020,8,25,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
2,1,0,8,1,50,0,0,0,0,1,0,7,0,0,5,2018,10,1,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,1,1,1,3,30,1,0,0,1,0,1,5,0,1,0,2019,4,30,0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
2,1,1,6,3,30,0,1,0,0,0,0,8,0,1,0,2018,9,4,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,1,0,14,3,30,1,0,0,1,0,0,3,0,0,4,2019,9,9,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
1,1,0,7,2,30,1,0,0,0,1,0,10,0,1,8,2021,8,9,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
